age, workclass, education-num, marital-status, occupation, relationship, race, sex, hours-per-week, native-country,earns
25,6,7,1,5,0,0,1,40,11,0
38,6,9,0,12,2,1,1,50,11,0
28,3,12,0,7,2,1,1,40,11,1
44,6,10,0,5,2,0,1,40,11,1
34,6,6,1,10,5,1,1,30,11,0
63,4,15,0,3,2,1,1,32,11,1
24,6,10,1,10,3,1,0,40,11,0
55,6,4,0,6,2,1,1,10,11,0
65,6,9,0,5,2,1,1,40,11,1
36,1,13,0,4,2,1,1,40,11,0
26,6,9,1,4,5,1,0,39,11,0
48,6,9,0,5,2,1,1,48,11,1
43,6,14,0,0,2,1,1,50,11,1
20,0,10,1,10,0,1,1,25,11,0
43,6,9,0,4,4,1,0,30,11,0
37,6,9,2,5,3,1,0,20,11,0
34,6,13,0,2,2,1,1,47,11,1
34,6,10,1,10,0,0,0,35,11,0
25,6,13,1,3,5,1,1,43,3,0
25,6,13,0,3,2,1,1,40,11,0
45,4,9,0,6,2,1,1,90,11,1
22,6,9,1,4,0,1,1,20,11,0
23,6,9,6,5,3,0,1,54,11,0
54,6,9,0,6,2,1,1,35,11,0
32,4,10,1,3,5,1,1,60,11,0
46,0,10,0,0,2,0,1,38,11,1
56,4,7,2,10,3,1,0,50,11,0
24,4,13,1,1,5,1,1,50,11,0
23,3,10,0,7,2,1,1,40,11,0
26,6,9,4,0,3,1,0,40,11,0
36,3,13,0,3,2,1,1,40,11,1
22,6,3,1,8,5,1,1,50,25,0
17,6,6,1,5,5,1,1,40,11,0
20,6,9,1,6,0,1,1,40,11,0
65,6,14,0,3,2,1,1,50,11,1
44,2,11,0,1,2,1,1,45,11,1
36,6,9,0,12,2,1,1,40,11,0
29,6,7,0,10,2,1,1,40,11,0
20,0,10,1,12,0,1,1,32,11,0
28,6,11,0,3,4,1,0,36,11,1
39,6,4,0,6,2,1,1,40,9,0
54,6,10,0,11,2,1,1,50,11,0
52,6,7,6,8,5,0,0,18,11,0
56,2,9,2,0,5,1,0,50,11,0
18,6,10,1,10,0,1,1,20,11,0
39,6,9,4,9,0,0,1,40,11,0
21,6,10,1,10,0,1,0,24,11,0
22,6,9,1,10,5,1,1,60,11,1
38,6,5,5,0,5,1,1,54,9,0
21,6,10,1,4,0,1,0,40,11,0
63,6,9,0,6,2,1,1,40,11,0
34,3,13,0,0,2,1,1,50,11,1
42,2,9,0,0,2,1,1,50,11,1
33,6,9,0,9,2,1,1,40,11,0
30,6,13,1,0,5,1,0,50,11,0
39,6,10,4,1,5,1,1,40,11,0
26,6,14,1,0,5,1,0,40,11,0
33,6,9,1,5,0,1,0,40,11,0
47,3,9,4,4,5,1,0,40,11,0
41,2,12,0,6,2,1,1,60,11,1
19,6,10,1,10,0,1,1,20,11,0
46,6,9,6,11,5,1,1,40,11,0
43,6,9,0,1,2,1,1,48,11,0
55,6,10,0,0,2,1,1,45,11,1
46,6,11,0,2,2,1,1,40,11,0
30,6,9,0,5,2,1,1,40,9,0
21,6,10,6,9,5,1,0,40,11,0
46,6,10,0,6,2,3,1,40,33,0
41,6,9,0,5,2,1,1,50,11,0
69,2,9,0,1,2,1,1,30,11,0
50,6,9,0,11,2,1,1,40,11,0
20,6,10,1,4,5,1,0,40,11,0
45,2,10,0,5,2,1,1,50,11,0
23,6,13,1,0,5,1,1,40,11,0
24,6,10,6,10,5,1,1,40,11,0
31,4,10,0,6,2,1,1,50,11,0
43,6,9,6,5,5,1,0,44,11,0
20,1,7,1,10,0,1,0,10,11,0
55,6,9,0,1,2,1,1,56,11,1
24,1,10,1,13,5,1,1,40,11,0
59,6,13,1,0,5,1,0,25,11,0
49,1,4,1,10,5,0,1,20,11,0
33,6,14,0,3,4,1,0,10,11,1
59,1,13,4,4,5,1,1,40,11,0
34,6,14,1,10,5,4,1,40,11,0
20,6,9,1,9,0,1,1,40,11,0
25,6,13,1,0,0,1,0,40,11,0
49,6,6,0,12,2,1,1,40,11,0
59,6,9,0,11,2,1,1,40,11,1
20,6,9,1,4,5,1,0,40,11,0
33,6,10,1,4,3,0,0,35,11,0
22,6,10,1,11,0,0,1,39,11,0
58,4,5,2,10,5,1,0,40,11,0
52,3,9,2,4,3,1,0,28,11,0
36,6,6,6,5,5,1,0,40,11,0
41,3,9,0,7,2,1,1,40,11,0
28,6,9,1,11,0,1,1,40,11,0
19,6,10,1,9,0,0,1,16,11,0
18,6,9,1,10,5,1,0,28,11,0
18,6,9,1,5,0,1,0,48,11,0
28,6,10,0,6,2,1,1,40,11,0
29,6,11,0,0,2,1,1,40,11,1
40,6,10,0,9,2,1,1,40,11,0
26,6,9,1,9,3,1,1,40,11,0
46,6,9,0,6,2,1,1,40,11,0
23,6,7,1,10,5,1,0,24,11,0
44,6,9,5,4,3,1,0,40,11,0
43,6,13,4,1,3,1,0,40,11,1
31,3,13,4,3,3,1,0,60,11,0
18,6,10,1,1,0,1,0,25,11,0
19,6,10,1,7,0,1,1,30,11,0
41,6,10,4,2,5,1,0,40,11,0
41,6,9,4,9,3,1,0,40,11,0
69,6,9,4,4,5,1,0,25,11,0
48,1,16,0,3,4,1,0,40,11,1
28,6,9,1,3,0,1,1,40,11,0
27,4,9,0,6,2,1,1,60,20,1
41,6,14,0,3,2,1,1,50,11,1
41,6,10,0,4,2,1,1,40,11,0
24,6,9,1,6,3,0,0,40,11,0
42,2,16,0,3,2,1,1,41,11,1
57,6,9,0,6,2,0,1,48,11,0
30,6,12,1,3,5,1,0,40,11,0
36,6,9,0,1,2,1,1,60,11,1
49,6,4,0,5,2,0,1,40,11,0
33,6,9,0,5,4,1,0,35,11,0
23,6,6,0,12,2,1,1,40,11,0
46,6,14,0,3,2,1,1,40,11,0
18,6,10,1,4,0,2,0,22,39,0
40,6,9,0,0,2,1,1,55,11,1
43,2,9,0,0,2,1,1,45,11,1
34,6,14,1,3,0,1,0,30,11,0
47,4,9,2,0,5,1,0,30,11,0
44,6,11,2,0,3,1,0,30,11,0
33,6,9,0,1,2,1,1,40,11,1
55,6,13,0,0,2,1,1,50,11,1
19,6,9,1,1,5,1,1,30,11,0
28,6,10,1,10,5,0,1,14,11,0
27,6,7,0,10,4,0,0,32,11,0
50,6,4,0,5,2,1,1,20,11,0
22,6,7,1,6,3,1,1,40,11,0
40,0,13,0,4,2,1,1,45,11,1
25,6,10,1,4,0,1,0,40,11,0
26,3,9,1,6,5,1,1,40,11,0
22,6,13,1,1,5,1,1,25,11,0
42,6,10,1,9,3,0,0,40,11,0
38,2,13,4,0,5,1,1,40,11,0
55,6,7,0,10,2,1,1,30,11,0
32,6,9,0,1,2,1,1,40,11,0
22,6,9,0,6,2,1,1,45,11,0
29,6,13,1,1,0,1,1,40,11,0
46,0,14,0,0,2,1,1,45,11,1
31,6,10,0,0,2,1,1,40,11,1
58,4,16,0,3,2,1,1,16,11,1
42,6,9,0,6,2,1,1,45,11,0
18,6,9,1,9,3,1,1,25,11,0
58,3,9,4,0,5,1,1,33,11,0
54,6,9,0,3,2,1,1,40,11,1
34,6,14,1,3,5,1,1,40,11,0
26,6,13,1,4,5,1,0,40,11,0
61,6,8,0,0,2,1,1,60,11,0
48,3,14,6,4,3,0,0,40,11,0
36,6,10,0,0,2,1,1,45,11,1
24,6,11,0,5,2,1,1,45,11,0
